Episode,Terminal State,Reward,Running Average
180,1 1,BOUNDARY,-2000,215391.2888888889
181,3 1,GOAL,999999,219726.13812154697
182,1 3,STEPS,-1019,218513.25274725276
183,3 5,STEPS,-1019,217313.62295081967
184,5 3,BOUNDARY,-2010,216121.64673913043
185,5 1,BOUNDARY,-2004,214942.5891891892
186,4 4,STEPS,-1019,213781.50537634408
187,3 4,STEPS,-1019,212632.83957219252
188,5 1,BOUNDARY,-2014,211491.1010638298
189,1 3,BOUNDARY,-2002,210361.50793650793
190,4 2,GOAL,999999,214517.4947368421
191,1 1,BOUNDARY,-2010,213383.84293193716
192,1 4,STEPS,-1019,212267.16145833334
193,2 1,GOAL,999994,216348.6476683938
194,5 5,STEPS,-1019,215228.19587628866
195,5 4,BOUNDARY,-2007,214114.16923076924
196,1 1,STEPS,-1019,213016.55102040817
197,4 2,GOAL,999997,217011.37563451775
198,2 5,STEPS,-1019,215910.21212121213
199,5 2,GOAL,999998,219850.35175879396
200,2 5,STEPS,-1019,218746.005
201,4 2,GOAL,999999,222632.83582089553
202,5 3,STEPS,-1019,221525.6485148515
203,4 3,STEPS,-1019,220429.3694581281
204,1 3,STEPS,-1019,219343.83823529413
205,3 3,STEPS,-1019,218268.8975609756
206,5 4,STEPS,-1019,217204.3932038835
207,1 2,GOAL,1000000,220986.01449275363
208,5 5,BOUNDARY,-2004,219913.94711538462
209,1 5,BOUNDARY,-2010,218852.1100478469
210,3 3,STEPS,-1019,217805.10476190477
211,2 5,STEPS,-1019,216768.02369668247
212,5 5,STEPS,-1019,215740.72641509434
213,2 3,STEPS,-1019,214723.0751173709
214,5 1,STEPS,-1019,213714.93457943926
215,4 5,STEPS,-1019,212716.17209302326
216,5 1,GOAL,999989,216360.9537037037
217,5 2,GOAL,999998,219972.18433179724
218,3 3,STEPS,-1019,218958.4633027523
219,1 4,STEPS,-1019,217954.0
220,5 3,STEPS,-1019,216958.66818181818
221,4 5,STEPS,-1019,215972.3438914027
222,4 3,GOAL,999998,219503.99099099098
223,4 2,GOAL,999997,223003.9596412556
224,4 2,GOAL,999999,226472.6875
225,2 4,STEPS,-1019,225461.61333333334
226,5 1,STEPS,-1019,224459.4867256637
227,4 4,STEPS,-1019,223466.18942731278
228,5 5,STEPS,-1019,222481.6052631579
229,3 5,STEPS,-1019,221505.62008733625
230,1 2,GOAL,1000000,224890.37826086956
231,4 1,GOAL,999998,228245.8225108225
232,4 2,GOAL,999999,231572.3448275862
233,5 1,STEPS,-1019,230574.09871244634
234,1 4,STEPS,-1019,229584.38461538462
235,2 4,STEPS,-1019,228603.09361702128
236,3 4,STEPS,-1019,227630.11864406778
237,3 3,STEPS,-1019,226665.35443037975
238,1 1,BOUNDARY,-2010,225704.53361344538
239,2 4,STEPS,-1019,224755.89958158997
240,3 4,STEPS,-1019,223815.17083333334
241,5 2,GOAL,999998,227035.84647302906
242,3 3,STEPS,-1019,226093.47107438016
243,1 5,BOUNDARY,-2014,225154.75720164608
244,3 1,STEPS,-1019,224227.8155737705
245,1 3,STEPS,-1019,223308.44081632653
246,5 3,STEPS,-1019,222396.5406504065
247,2 2,GOAL,1000000,225544.73279352227
248,4 5,STEPS,-1019,224631.1693548387
249,3 3,STEPS,-1019,223724.9437751004
250,5 2,GOAL,999998,226830.036
251,3 4,STEPS,-1019,225922.27091633467
252,2 5,STEPS,-1019,225021.71031746033
253,5 4,STEPS,-1019,224128.26877470355
254,1 1,STEPS,-1019,223241.8622047244
255,2 4,STEPS,-1019,222362.40784313725
256,5 4,STEPS,-1019,221489.82421875
257,3 5,STEPS,-1019,220624.03112840466
258,1 4,STEPS,-1019,219764.9496124031
259,4 4,STEPS,-1019,218912.50193050192
260,5 2,GOAL,999998,221916.6769230769
261,4 4,STEPS,-1019,221062.5172413793
262,1 3,STEPS,-1019,220214.87786259543
263,2 4,STEPS,-1019,219373.68441064638
264,4 3,STEPS,-1019,218538.86363636365
265,4 3,STEPS,-1019,217710.3433962264
266,4 1,GOAL,999998,220651.27443609023
267,1 1,GOAL,999999,223570.1797752809
268,4 4,STEPS,-1019,222732.16044776118
269,5 4,STEPS,-1019,221900.3717472119
270,2 1,GOAL,999996,224782.2074074074
271,4 4,BOUNDARY,-2014,223945.32103321032
272,4 2,GOAL,999997,226798.45220588235
273,3 2,GOAL,1000000,229630.6923076923
274,3 1,GOAL,999997,232442.2481751825
275,3 4,STEPS,-1019,231593.2981818182
276,4 1,GOAL,999996,234377.365942029
277,4 4,BOUNDARY,-2013,233523.97111913358
278,1 5,BOUNDARY,-2015,232676.7086330935
279,2 3,STEPS,-1019,231839.08960573477
280,4 4,BOUNDARY,-2017,231003.88928571428
281,2 3,STEPS,-1019,230178.1850533808
282,4 2,GOAL,999999,232908.04609929078
283,2 3,STEPS,-1019,232081.4487632509
284,3 2,GOAL,1000000,234785.38732394367
285,4 2,GOAL,999999,237470.34736842106
286,1 4,STEPS,-1019,236636.46853146853
287,5 1,BOUNDARY,-2004,235804.96864111497
288,5 1,BOUNDARY,-2014,234979.20833333334
289,5 5,BOUNDARY,-2012,234159.169550173
290,4 4,STEPS,-1019,233348.2103448276
291,5 1,STEPS,-1019,232542.82474226804
292,1 3,STEPS,-1019,231742.95547945207
293,1 4,STEPS,-1019,230948.54607508532
