Episode,Terminal State,Reward,Running Average
220,GOAL,1000000,553652.1636363637
221,GOAL,999998,555671.8280542986
222,GOAL,999999,557673.3018018018
223,GOAL,999998,559656.8206278026
224,GOAL,999998,561622.6294642857
225,GOAL,999997,563570.96
226,GOAL,999997,565502.0486725664
227,GOAL,999998,567416.127753304
228,GOAL,999999,569313.4210526316
229,GOAL,999997,571194.1353711791
230,GOAL,999997,573058.4956521739
231,GOAL,1000000,574906.7272727273
232,GOAL,999998,576739.0172413794
233,GOAL,1000000,578555.5879828326
234,GOAL,1000000,580356.6324786325
235,GOAL,999997,582142.3361702127
236,GOAL,999997,583912.906779661
237,GOAL,999999,585668.5443037974
238,BOUNDARY,-2002,583199.3403361344
239,GOAL,999999,584943.2719665272
240,GOAL,999998,586672.6666666666
241,GOAL,999999,588387.713692946
242,GOAL,999997,590088.5785123967
243,GOAL,999997,591775.4444444445
244,GOAL,999997,593448.4836065574
245,GOAL,999999,595107.8734693878
246,GOAL,999997,596753.7642276423
247,GOAL,999998,598386.3319838056
248,GOAL,999997,600005.7298387097
249,GOAL,999998,601612.124497992
250,GOAL,999999,603205.672
251,GOAL,999996,604786.5099601593
252,GOAL,999997,606354.8055555555
253,BOUNDARY,-2000,603950.2411067194
254,GOAL,999999,605509.4881889764
255,GOAL,999997,607056.4980392157
256,GOAL,999998,608591.42578125
257,GOAL,1000000,610114.4163424125
258,GOAL,999998,611625.5930232558
259,GOAL,999998,613125.1003861004
260,GOAL,999998,614613.073076923
261,GOAL,999997,616089.6398467433
262,GOAL,999999,617554.9427480916
263,GOAL,1000000,619009.1064638783
264,GOAL,999998,620452.2462121212
265,GOAL,999998,621884.4943396227
266,GOAL,1000000,623305.9812030075
267,GOAL,999998,624716.8127340823
268,GOAL,999997,626117.1119402985
269,GOAL,999997,627507.0
270,GOAL,999999,628886.6
271,BOUNDARY,-2000,626558.6051660517
272,GOAL,999998,627931.5441176471
273,GOAL,999998,629294.424908425
274,GOAL,999998,630647.3576642335
275,BOUNDARY,-2002,628346.8145454546
276,BOUNDARY,-2000,626062.9492753623
277,GOAL,999998,627412.8953068592
278,BOUNDARY,-2001,625148.8165467626
279,BOUNDARY,-2001,622900.9677419355
280,BOUNDARY,-2002,620669.1714285715
281,BOUNDARY,-2002,618453.2597864768
282,GOAL,999998,619806.2553191489
283,BOUNDARY,-2001,617609.0565371024
284,GOAL,1000000,618955.5035211268
285,GOAL,1000000,620292.501754386
286,GOAL,999998,621620.1433566434
287,GOAL,999999,622938.5365853659
288,GOAL,999996,624247.7638888889
289,GOAL,999997,625547.9342560554
290,GOAL,999999,626839.1448275862
291,GOAL,999997,628121.4742268041
292,GOAL,999997,629395.0205479452
293,GOAL,999997,630659.8737201365
294,GOAL,999996,631916.119047619
295,GOAL,1000000,633163.8610169492
296,GOAL,999998,634403.1655405406
297,GOAL,999997,635634.1212121212
298,BOUNDARY,-2003,633494.399328859
299,GOAL,999998,634720.1638795986
300,GOAL,1000000,635937.7633333333
301,GOAL,1000000,637147.2724252492
302,GOAL,999998,638348.7649006622
303,GOAL,999999,639542.3300330034
304,GOAL,999999,640728.0427631579
305,GOAL,999998,641905.9770491803
306,GOAL,999998,643076.2124183007
307,GOAL,1000000,644238.8306188926
308,GOAL,999998,645393.8928571428
309,GOAL,1000000,646541.4854368932
310,GOAL,999999,647681.670967742
311,GOAL,999996,648814.5144694534
312,GOAL,999996,649940.0961538461
313,BOUNDARY,-2002,647857.214057508
314,GOAL,999998,648978.6815286624
315,GOAL,999999,650093.0317460317
316,BOUNDARY,-2002,648029.4398734177
317,GOAL,999999,649139.7539432177
