Episode,Terminal State,Reward,Running Average
276,1 3,BOUNDARY,-2002,382895.10507246375
277,1 2,STEPS,-1019,381509.1335740072
278,2 3,GOAL,1000000,383733.92086330935
279,1 2,BOUNDARY,-2005,382351.34408602153
280,1 3,BOUNDARY,-2006,380978.6392857143
281,2 1,GOAL,1000000,383181.5622775801
282,2 3,GOAL,1000000,385368.8617021277
283,3 3,GOAL,999995,387540.6855123675
284,3 2,GOAL,999996,389697.21830985916
285,1 1,STEPS,-1019,388326.2842105263
286,1 3,BOUNDARY,-2007,386961.48251748254
287,3 3,BOUNDARY,-2000,385606.21602787456
288,2 1,GOAL,1000000,387739.52777777775
289,1 2,STEPS,-1019,386394.34256055363
290,2 1,GOAL,1000000,388510.224137931
291,3 1,GOAL,999997,390611.5532646048
292,1 2,BOUNDARY,-2005,389266.97602739726
293,2 1,GOAL,1000000,391351.3890784983
294,2 3,GOAL,1000000,393421.6224489796
295,1 3,GOAL,999999,395477.81694915256
296,1 1,BOUNDARY,-2012,394134.9459459459
297,1 2,BOUNDARY,-2013,392801.11447811447
298,1 1,STEPS,-1019,391479.57046979864
299,3 2,GOAL,1000000,393514.7558528428
300,2 3,GOAL,1000000,395536.37333333335
301,3 2,GOAL,999996,397544.5448504983
302,1 1,BOUNDARY,-2016,396221.4966887417
303,1 1,BOUNDARY,-2003,394907.22442244226
304,3 2,GOAL,999990,396897.6282894737
305,3 3,GOAL,999999,398875.0098360656
306,1 1,STEPS,-1019,397568.1666666667
307,3 2,GOAL,999994,399530.4657980456
308,2 2,GOAL,1000000,401480.0422077922
309,2 3,GOAL,1000000,403417.0
310,3 3,GOAL,999999,405341.45806451613
311,2 1,GOAL,1000000,407253.54340836016
312,3 2,GOAL,999996,409153.358974359
313,1 3,BOUNDARY,-2002,407839.76357827475
314,3 3,GOAL,999999,409725.6210191083
315,3 1,GOAL,999997,411599.4984126984
316,2 3,GOAL,1000000,413461.5253164557
317,1 2,BOUNDARY,-2001,412150.91798107256
318,2 1,BOUNDARY,-2001,410848.5534591195
319,1 3,BOUNDARY,-2002,409554.3510971787
320,1 2,BOUNDARY,-2001,408268.240625
321,1 3,BOUNDARY,-2004,406990.1339563863
322,1 1,BOUNDARY,-2002,405719.97204968944
323,1 1,BOUNDARY,-2002,404457.6749226006
324,3 3,GOAL,999999,406295.76543209876
325,3 1,GOAL,999995,408122.5323076923
326,1 1,BOUNDARY,-2008,406864.46319018403
327,2 3,GOAL,1000000,408678.3333333333
328,2 2,GOAL,1000000,410481.14329268294
329,1 2,BOUNDARY,-2011,409227.36778115504
330,1 3,STEPS,-1019,407984.19696969696
331,3 3,GOAL,999999,409772.7613293051
332,1 1,GOAL,999997,411550.5451807229
333,1 3,STEPS,-1019,410311.5975975976
334,2 3,GOAL,1000000,412077.13173652696
335,1 2,STEPS,-1019,410844.0089552239
336,2 2,GOAL,1000000,412597.4494047619
337,1 2,STEPS,-1019,411370.1008902077
338,3 1,GOAL,999993,413111.58875739644
339,3 1,GOAL,999999,414842.820058997
340,2 1,GOAL,1000000,416563.87058823527
341,3 3,GOAL,999995,418274.81231671554
342,3 3,GOAL,999999,419975.76023391815
343,2 3,GOAL,1000000,421666.79300291545
344,3 1,GOAL,999999,423347.99127906974
345,3 1,GOAL,999999,425019.4434782609
346,1 2,STEPS,-1019,423788.11849710986
347,2 1,BOUNDARY,-2003,422561.05475504324
348,3 3,GOAL,999995,424220.3477011494
349,1 2,STEPS,-1019,423001.89684813755
350,1 2,GOAL,999990,424650.4342857143
351,1 3,STEPS,-1019,423437.7008547009
352,1 3,BOUNDARY,-2002,422229.0653409091
353,1 3,BOUNDARY,-2001,421027.2804532578
354,1 3,BOUNDARY,-2002,419832.2824858757
355,3 1,BOUNDARY,-2006,418644.0056338028
356,3 3,GOAL,999999,420277.0252808989
357,1 2,BOUNDARY,-2007,419094.1568627451
358,2 1,GOAL,1000000,420716.7988826816
359,1 3,BOUNDARY,-2004,419539.30362116994
360,1 3,STEPS,-1019,418371.0861111111
361,1 3,BOUNDARY,-2004,417206.61218836566
362,1 2,STEPS,-1019,416051.2928176796
363,2 3,GOAL,1000000,417659.96694214875
364,3 1,GOAL,999997,419259.79395604396
365,3 2,GOAL,1000000,420850.8630136986
366,3 1,GOAL,999999,422433.2349726776
367,2 1,GOAL,1000000,424006.9863760218
368,1 1,GOAL,999999,425572.1820652174
369,1 3,STEPS,-1019,424416.108401084
370,2 2,GOAL,1000000,425971.74054054054
371,2 2,GOAL,1000000,427518.98652291106
372,1 2,STEPS,-1019,426367.00268817204
373,1 2,STEPS,-1019,425221.19571045577
374,2 2,GOAL,1000000,426758.03743315506
375,2 2,GOAL,1000000,428286.6826666667
376,3 2,GOAL,999984,429807.15425531915
377,3 3,BOUNDARY,-2000,428661.7771883289
378,2 1,GOAL,1000000,430173.25396825396
379,2 3,GOAL,1000000,431676.75461741426
380,1 3,STEPS,-1019,430538.08157894737
381,3 1,GOAL,999989,432032.7034120735
382,3 3,STEPS,-1019,430899.06020942406
383,3 2,STEPS,-1019,429771.3368146214
384,1 3,GOAL,999985,431256.2682291667
385,1 1,STEPS,-1019,430133.4753246753
386,1 1,STEPS,-1019,429016.5
387,3 2,BOUNDARY,-2015,427902.7235142119
388,1 3,STEPS,-1019,426797.2551546392
389,1 2,STEPS,-1019,425697.47043701797
390,1 2,STEPS,-1019,424603.3256410256
391,2 1,GOAL,1000000,426074.9283887468
392,1 3,STEPS,-1019,424985.4030612245
393,3 1,BOUNDARY,-2004,423898.91603053437
394,1 3,STEPS,-1019,422820.4441624365
395,3 1,GOAL,999989,424281.63037974684
396,1 3,GOAL,999983,425735.42171717173
397,2 2,GOAL,1000000,427181.93198992446
398,3 3,GOAL,999987,428621.1407035176
399,2 1,GOAL,1000000,430053.1679197995
400,2 2,GOAL,1000000,431478.035
401,2 1,GOAL,1000000,432895.7955112219
402,2 3,GOAL,1000000,434306.5024875622
403,3 3,GOAL,999999,435710.205955335
404,1 1,GOAL,999995,437106.95049504953
405,3 3,GOAL,999989,438496.7827160494
406,1 1,STEPS,-1019,437414.2315270936
407,1 3,STEPS,-1019,436337.0
408,1 1,STEPS,-1019,435265.04901960783
409,1 1,STEPS,-1019,434198.3398533007
410,3 2,GOAL,999994,435578.3292682927
411,2 2,GOAL,1000000,436951.6180048662
412,3 3,GOAL,999995,438318.2281553398
413,1 1,STEPS,-1019,437254.4576271186
414,1 2,STEPS,-1019,436195.82608695654
415,2 2,GOAL,1000000,437554.3903614458
